id,name
2,Alfred Hitchcock
32,George Cukor
56,Lewis Milestone
37,Henry Koster
39,Howard Hawks
8,Billy Wilder
30,Garson Kanin
23,Edmund Goulding
45,John Carpenter
10,Brian De Palma
34,Gregory La Cava
46,John Cromwell
48,Julien Duvivier
86,Vincent Sherman
87,W. S. Van Dyke
1,Alan Crosland
5,Anthony Asquith
7,B.Nirenburg
11,Charles Chauvel
13,Christian Nyby
24,Edouard Molinaro
25,Edward H. Griffith
26,Ernst Lubitsch
29,Fred Zinnemann
33,George Stevens
36,Géza von Bolváry
38,Herbert Brenon
47,John M. Stahl
49,Karel Reisz
52,King Vidor
55,Leslie Howard
59,Maurice Elvey
60,Maurice Tourneur
61,Max Neufeld
65,Paul Wegener
70,Richard Eichberg
72,Richard Thorpe
74,Robert Butler
75,Robert Siodmak
84,Ted Kotcheff
85,Thorold Dickinson
91,Wolf Rilla
id,name
3,Andrew Davis
4,Andrew Grieve
6,Anthony Page
9,Bradley Cooper
12,Charles Walters
14,Colin Bucksey
15,Daniel Petrie
16,David Carson
17,David Miller
18,David Ondaatje
19,Dean Parisot
20,Delbert Mann
21,Diane English
22,Don Sharp
27,Frank R. Pierson
28,Franz Peter Wirth
31,Gary Sinise
35,Gus Van Sant
40,Hugo Fregonese
41,James Hawes
42,Jean-François Richet
43,Jeff Bleckner
44,John Brahm
50,Karen Arthur
51,Kimberly Peirce
53,Lawrence Gordon Clark
54,Lee H. Katzin
57,Luis Mandoki
58,Martin M. Speer
62,Michael Gordon
63,Norman Taurog
64,Paul Paviot
66,Penny Marshall
67,Peyton Reed
68,Philippa Lowthorpe
69,Ralph Thomas
71,Richard Quine
73,Rob Zombie
76,Rod Hardy
77,Roger Cheveley
78,Ron Silver
79,Rupert Wainwright
80,Rupert Wyatt
81,Steven Soderbergh
82,Sydney Pollack
83,Tad Danielewski
88,Wilhelm Thiele
89,William A. Wellman
90,William Nigh
